filename,cd_alg,pc_alpha,graph_p_threshold,velocity_angle,velocity_magnitude,react_rate,init_concentration,t_max,diff_coefs_serial,M-Stencil Angle Difference,angle_error_exceeds_45
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_3.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,3.0,1.0,50,0.8,0.1,0.00023496326440408666,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_2.4148145657226707_0.6470476127563018_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.5,1.0,50,0.8,0.005,14.348523425128178,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_0.3882285676537811_1.4488887394336025_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.5,1.0,50,0.8,0.2,52.849369635228996,True
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_3.464101615137755_1.9999999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,4.0,1.0,50,0.8,0.01,2.3375360726700194,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_0.7071067811865476_0.7071067811865475_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,1.0,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_3.464101615137755_1.9999999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,4.0,1.0,50,0.8,0.2,9.005693183011033,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_2.4492935982947064e-16_4.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,4.0,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.5176380902050415_1.9318516525781366_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,2.0,1.0,50,0.8,0.005,13.687166738701762,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_3.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,3.0,1.0,50,0.8,0.05,0.21872827133483952,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_0.8660254037844387_0.49999999999999994_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.0,1.0,50,0.8,0.1,50.60718189095684,True
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.8660254037844387_0.49999999999999994_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.0,1.0,50,0.8,0.005,13.20138433657263,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.5308084989341916e-16_2.5_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,2.5,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_0.7071067811865476_0.7071067811865475_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,1.0,1.0,50,0.8,0.2,0.39727934627632067,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.2246467991473532e-16_2.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,2.0,1.0,50,0.8,0.05,179.9966031556616,True
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_0.25881904510252074_0.9659258262890683_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.0,1.0,50,0.8,0.4,28.443543393828634,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_0.3882285676537811_1.4488887394336025_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.5,1.0,50,0.8,0.01,12.500336720726807,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.7071067811865476_0.7071067811865475_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,1.0,1.0,50,0.8,0.005,0.0,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_0.8660254037844387_0.49999999999999994_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.0,1.0,50,0.8,0.01,45.79024705500069,True
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_2.4148145657226707_0.6470476127563018_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.5,1.0,50,0.8,0.01,13.886020922364452,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_0.7764571353075622_2.897777478867205_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,3.0,1.0,50,0.8,0.05,22.76043075765955,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_2.165063509461097_1.2499999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,2.5,1.0,50,0.8,0.01,9.089418012950176,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.0000000000000002_1.7320508075688772_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.0,1.0,50,0.8,0.01,4.005968663518416,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_0.5176380902050415_1.9318516525781366_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,2.0,1.0,50,0.8,0.2,4.8779880389330685,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_1.2246467991473532e-16_2.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,2.0,1.0,50,0.8,0.005,0.0,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.299038105676658_0.7499999999999999_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.5,1.0,50,0.8,0.4,12.350255066441747,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_1.5000000000000004_2.598076211353316_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,3.0,1.0,50,0.8,0.005,10.676857019584077,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.3882285676537811_1.4488887394336025_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.5,1.0,50,0.8,0.005,12.758546882165604,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_2.165063509461097_1.2499999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,2.5,1.0,50,0.8,0.2,7.1580453236286985,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_0.9659258262890683_0.25881904510252074_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,1.0,1.0,50,0.8,0.2,28.51287035123579,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_1.0000000000000002_1.7320508075688772_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.0,1.0,50,0.8,0.2,36.59236547342405,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_0.5176380902050415_1.9318516525781366_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,2.0,1.0,50,0.8,0.01,14.63777049309141,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_1.299038105676658_0.7499999999999999_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,1.5,1.0,50,0.8,0.1,25.2816435391739,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_2.4148145657226707_0.6470476127563018_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.5,1.0,50,0.8,0.2,7.099261111776173,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_2.5_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.5,1.0,50,0.8,0.005,0.0,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_0.5000000000000001_0.8660254037844386_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,1.0,1.0,50,0.8,0.1,50.453585970028655,True
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_2.4492935982947064e-16_4.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,4.0,1.0,50,0.8,0.1,0.0,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.2246467991473532e-16_2.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,2.0,1.0,50,0.8,0.4,0.7703375565005217,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_0.3882285676537811_1.4488887394336025_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,1.5,1.0,50,0.8,0.05,23.729125423807574,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_6.123233995736766e-17_1.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,1.0,1.0,50,0.8,0.005,0.0,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_1.5308084989341916e-16_2.5_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,2.5,1.0,50,0.8,0.1,0.0009402670116855916,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_3.8637033051562732_1.035276180410083_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,4.0,1.0,50,0.8,0.01,4.783893342683768,False
